latitude,longitude,datetime,source_db,scientific_name
35.125899,-90.029298,2017-03-07T19:02:41Z,tgm,NA
35.2497,-87.3318,2017-03-07T19:09:30Z,tgm,NA
35.1157,-95.6787,2017-03-08T06:46:54Z,tgm,NA
35.33131,-93.150787,2017-03-10T04:49:48Z,tgm,NA
36.641978,-90.578613,2017-03-10T04:49:48Z,tgm,NA
34.941987,-90.585938,2017-03-10T04:55:30Z,tgm,NA
37.316781,-121.752319,2017-03-10T04:55:30Z,tgm,NA
35.604215,-84.288025,2017-03-10T05:03:07Z,tgm,NA
35.10759,-93.65825,2017-03-12T14:08:45Z,tgm,NA
35.270662,-97.216988,2017-03-12T14:33:09Z,tgm,NA
34.006822,-96.378921,2017-03-16T11:34:25Z,tgm,NA
39.909736,-95.185547,2017-03-16T11:34:25Z,tgm,NA
36.7378,-91.868,2017-03-17T06:20:43Z,tgm,NA
34.051996,-83.383255,2017-03-17T11:21:41Z,tgm,NA
35.468872,-89.841156,2017-03-18T06:30:14Z,tgm,NA
37.920624,-90.551123,2017-03-18T06:30:15Z,tgm,NA
33.8717,-93.5778,2017-03-19T17:18:25Z,tgm,NA
36.1817,-93.7149,2017-03-19T17:33:05Z,tgm,NA
32.6439,-96.7077,2017-03-19T17:36:27Z,tgm,NA
35.93148,-95.1437,2017-03-19T17:55:51Z,tgm,NA
39.1445,-123.198,2017-03-19T17:55:51Z,tgm,NA
35.629962,-94.169018,2017-03-20T10:34:12Z,tgm,NA
37.7253,-89.876,2017-03-20T17:37:05Z,tgm,NA
37.50005,-88.666721,2017-03-20T17:40:54Z,tgm,NA
37.976259,-87.882614,2017-03-20T17:40:54Z,tgm,NA
38.3398,-90.1532,2017-03-20T17:40:54Z,tgm,NA
36.762603,-95.178223,2017-03-20T17:51:16Z,tgm,NA
35.1643,-93.2785,2017-03-20T17:56:53Z,tgm,NA
35.6445,-92.3137,2017-03-21T09:43:02Z,tgm,NA
36.4583,-93.1908,2017-03-21T09:45:01Z,tgm,NA
33.489999,-84.161682,2017-03-22T06:54:22Z,tgm,NA
42.515357,-123.343735,2017-03-22T06:54:23Z,tgm,NA
35.4884,-96.6907,2017-03-22T07:10:35Z,tgm,NA
37.951176,-87.91008,2017-03-22T07:10:35Z,tgm,NA
33.9408,-93.8511,2017-03-23T06:27:14Z,tgm,NA
35.1237,-93.6282,2017-03-23T06:27:14Z,tgm,NA
42.2571,-123.168,2017-03-23T06:41:19Z,tgm,NA
33.8535,-84.2226,2017-03-23T06:47:52Z,tgm,NA
36.3123,-87.1414,2017-03-23T06:50:24Z,tgm,NA
35.9061,-84.0262,2017-03-23T06:54:56Z,tgm,NA
33.984542,-83.296466,2017-03-23T06:59:45Z,tgm,NA
38.007405,-86.205139,2017-03-23T07:02:53Z,tgm,NA
34.7607,-96.6773,2017-03-23T08:20:53Z,tgm,NA
35.5125,-97.7989,2017-03-24T05:38:56Z,tgm,NA
34.865401,-84.845581,2017-03-24T05:38:57Z,tgm,NA
36.151614,-90.468521,2017-03-24T05:45:54Z,tgm,NA
33.66537,-82.392197,2017-03-24T05:45:54Z,tgm,NA
36.200574,-94.040451,2017-03-24T05:54:56Z,tgm,NA
36.193247,-85.549393,2017-03-24T06:00:55Z,tgm,NA
35.2264,-93.1649,2017-03-24T06:00:55Z,tgm,NA
39.12935,-84.803925,2017-03-25T04:56:09Z,tgm,NA
38.728852,-85.843506,2017-03-25T05:09:56Z,tgm,NA
38.23228,-90.5629,2017-03-26T12:15:31Z,tgm,NA
