datetime,source_db,scientific_name,geometry,country,prov_state,level_01,level_02,eco_region,lulc
2017-03-07T19:02:41Z,tgm,NA,"c(6380483.29078338, -163080.18026372)",USA,Tennessee,Shelby,NA,Mississippi Valley Loess Plains,17
2017-03-07T19:09:30Z,tgm,NA,"c(6644086.9023105, -135051.855798754)",USA,Tennessee,Lawrence,NA,Interior Plateau,17
2017-03-08T06:46:54Z,tgm,NA,"c(5825645.96019369, -155685.539904668)",USA,Oklahoma,Pittsburg,NA,Arkansas Valley,18
2017-03-10T04:49:48Z,tgm,NA,"c(6074348.39798801, -139872.986124665)",USA,Arkansas,Pope,NA,Arkansas Valley,5
2017-03-10T04:49:48Z,tgm,NA,"c(6322880.9011436, 15938.4041411062)",USA,Missouri,Butler,NA,Ozark Highlands,15
2017-03-10T04:55:30Z,tgm,NA,"c(6326257.03284745, -186421.570814355)",USA,Arkansas,St. Francis,NA,Mississippi Alluvial Plain,17
2017-03-10T04:55:30Z,tgm,NA,"c(3488552.46753726, 743390.292120545)",USA,California,Santa Clara,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",6
2017-03-10T05:03:07Z,tgm,NA,"c(6935999.28328989, -64683.6633360563)",USA,Tennessee,Monroe,NA,Ridge and Valley,15
2017-03-12T14:08:45Z,tgm,NA,"c(6023951.29911972, -165397.106539822)",USA,Arkansas,Yell,NA,Arkansas Valley,17
2017-03-12T14:33:09Z,tgm,NA,"c(5676442.32319718, -126352.155069523)",USA,Oklahoma,Cleveland,NA,Cross Timbers,5
2017-03-16T11:34:25Z,tgm,NA,"c(5747553.39177178, -283962.148373007)",USA,Oklahoma,Bryan,NA,South Central Plains,17
2017-03-16T11:34:25Z,tgm,NA,"c(5903474.42795991, 405427.165039451)",USA,Missouri,Holt,NA,Western Corn Belt Plains,15
2017-03-17T06:20:43Z,tgm,NA,"c(6199873.02843793, 26035.1657359512)",USA,Missouri,Howell,NA,Ozark Highlands,17
2017-03-17T11:21:41Z,tgm,NA,"c(7048105.39501819, -237932.979571625)",USA,Georgia,Madison,NA,Piedmont,15
2017-03-18T06:30:14Z,tgm,NA,"c(6397654.0851895, -121574.844992358)",USA,Tennessee,Tipton,NA,Mississippi Valley Loess Plains,6
2017-03-18T06:30:15Z,tgm,NA,"c(6322384.98343817, 166730.067703818)",USA,Missouri,St. Francois,NA,Ozark Highlands,17
2017-03-19T17:18:25Z,tgm,NA,"c(6027862.10629922, -313991.814953974)",USA,Arkansas,Hempstead,NA,South Central Plains,17
2017-03-19T17:33:05Z,tgm,NA,"c(6022104.91338041, -37294.8881365214)",USA,Arkansas,Madison,NA,Ozark Highlands,17
2017-03-19T17:36:27Z,tgm,NA,"c(5702099.75009068, -446091.206451167)",USA,Texas,Dallas,NA,Texas Blackland Prairies,17
2017-03-19T17:55:51Z,tgm,NA,"c(5883144.66723532, -61451.9926001388)",USA,Oklahoma,Cherokee,NA,Boston Mountains,17
2017-03-19T17:55:51Z,tgm,NA,"c(3469221.10277303, 995177.813844481)",USA,California,Mendocino,NA,"California Coastal Sage, Chaparral, and Oak Woodlands",17
2017-03-20T10:34:12Z,tgm,NA,"c(5976037.37346336, -101460.085693136)",USA,Arkansas,Crawford,NA,Boston Mountains,5
2017-03-20T17:37:05Z,tgm,NA,"c(6385892.88154074, 145419.9430648)",USA,Missouri,Perry,NA,Interior River Valleys and Hills,17
2017-03-20T17:40:54Z,tgm,NA,"c(6500073.63886923, 123555.724872813)",USA,Illinois,Pope,NA,Interior Plateau,1
2017-03-20T17:40:54Z,tgm,NA,"c(6570011.45811837, 183589.202504436)",USA,Indiana,Posey,NA,Interior River Valleys and Hills,15
2017-03-20T17:40:54Z,tgm,NA,"c(6358071.49157027, 216760.847775093)",USA,Illinois,Monroe,NA,Interior River Valleys and Hills,17
2017-03-20T17:51:16Z,tgm,NA,"c(5884940.04467557, 37172.9977825573)",USA,Oklahoma,Craig,NA,Central Irregular Plains,15
2017-03-20T17:56:53Z,tgm,NA,"c(6061410.71639988, -159557.643466556)",USA,Arkansas,Yell,NA,Arkansas Valley,17
2017-03-21T09:43:02Z,tgm,NA,"c(6156517.59735616, -103628.621797157)",USA,Arkansas,Van Buren,NA,Boston Mountains,15
2017-03-21T09:45:01Z,tgm,NA,"c(6073224.63943547, -5744.9073491958)",USA,Arkansas,Boone,NA,Ozark Highlands,5
2017-03-22T06:54:22Z,tgm,NA,"c(6978881.77310958, -315175.450260818)",USA,Georgia,Henry,NA,Piedmont,15
2017-03-22T06:54:23Z,tgm,NA,"c(3642453.39196082, 1344035.26875282)",USA,Oregon,Josephine,NA,Klamath Mountains,8
2017-03-22T07:10:35Z,tgm,NA,"c(5729807.6805072, -104553.832986204)",USA,Oklahoma,Lincoln,NA,Cross Timbers,17
2017-03-22T07:10:35Z,tgm,NA,"c(6567646.98700527, 180490.576987153)",USA,Indiana,Posey,NA,Interior River Valleys and Hills,15
2017-03-23T06:27:14Z,tgm,NA,"c(6000636.69334418, -304864.670844797)",USA,Arkansas,Howard,NA,South Central Plains,17
2017-03-23T06:27:14Z,tgm,NA,"c(6026956.72782371, -163553.77856543)",USA,Arkansas,Yell,NA,Arkansas Valley,15
2017-03-23T06:41:19Z,tgm,NA,"c(3641582.6127975, 1310921.2192266)",USA,Oregon,Jackson,NA,Klamath Mountains,17
2017-03-23T06:47:52Z,tgm,NA,"c(6967489.66707825, -272329.404950069)",USA,Georgia,DeKalb,NA,Piedmont,17
2017-03-23T06:50:24Z,tgm,NA,"c(6653308.82358327, -7532.48678986263)",USA,Tennessee,Cheatham,NA,Interior Plateau,17
2017-03-23T06:54:56Z,tgm,NA,"c(6956879.75678578, -25927.1376049663)",USA,Tennessee,Knox,NA,Ridge and Valley,17
2017-03-23T06:59:45Z,tgm,NA,"c(7057821.37954125, -244823.862132836)",USA,Georgia,Clarke,NA,Piedmont,17
2017-03-23T07:02:53Z,tgm,NA,"c(6725128.30217313, 199039.737787866)",USA,Kentucky,Meade,NA,Interior Plateau,5
2017-03-23T08:20:53Z,tgm,NA,"c(5724536.19056039, -191422.506611049)",USA,Oklahoma,Pontotoc,NA,Cross Timbers,5
2017-03-24T05:38:56Z,tgm,NA,"c(5622344.56404467, -92560.90778613)",USA,Oklahoma,Canadian,NA,Central Great Plains,15
2017-03-24T05:38:57Z,tgm,NA,"c(6891806.2784091, -158643.639339506)",USA,Georgia,Whitfield,NA,Ridge and Valley,5
2017-03-24T05:45:54Z,tgm,NA,"c(6334660.13997931, -41972.4826049539)",USA,Arkansas,Greene,NA,Mississippi Valley Loess Plains,15
2017-03-24T05:45:54Z,tgm,NA,"c(7153409.76664353, -270072.784189355)",USA,Georgia,Columbia,NA,Piedmont,18
