id,observed_on_string,observed_on,time_observed_at,time_zone,quality_grade,license,num_identification_agreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
20410,"April 10, 2011 14:02",2011-04-10,2011-04-10 21:02:00 UTC,Pacific Time (US & Canada),needs_id,CC-BY-NC-ND,5,false,"Sunlight Beach, Washington, United States",48.002468,-122.43399,,,,,,,,false,,,true morels,Morchella,true morels,Fungi,56830
27599,"May 09, 2011 09:25",2011-05-09,2011-05-09 13:25:00 UTC,Eastern Time (US & Canada),needs_id,CC-BY-NC,1,false,"Worth, Pennsylvania, United States",40.965859,-80.113205,,,,,,,,false,,,true morels,Morchella americana,white morel,Fungi,462132
35766,"October 16, 2011 12:54:51 PM PDT",2011-10-16,2011-10-16 19:54:51 UTC,Pacific Time (US & Canada),needs_id,CC-BY-NC,5,false,"2169 Charleston Rd, Mountain View, CA  94043-1632, , United States",37.4203681946,-122.0951156616,1414,,,,1414,,,false,,,true morels,Morchella,true morels,Fungi,56830
60806,2011-05-06,2011-05-06,,Eastern Time (US & Canada),needs_id,CC-BY,3,false,Shawnee State Forest,38.7291895,-83.2291862,21533,,,,21533,,,false,,,Morchella,Morchella,true morels,Fungi,56830
60916,2012-03-23,2012-03-23,,Eastern Time (US & Canada),needs_id,CC-BY,4,false,Gallia County,38.86751337,-83.3422851563,,,,,,,,false,,,true morels,Morchella,true morels,Fungi,56830
60917,2012-03-23,2012-03-23,,Eastern Time (US & Canada),needs_id,CC-BY,5,false,Gallia County,38.9620783911,-82.2106933594,,,,,,,,false,,,Esculenta Clade,Morchella,Esculenta Clade,Fungi,1062674
65187,2012-04-13,2012-04-13,,Eastern Time (US & Canada),research,CC-BY,3,false,"Hartville, OH",40.9636685,-81.3312195,3281,,,,3281,,,false,,,white morel,Morchella americana,white morel,Fungi,462132
65380,2009-05-15,2009-05-15,,Pacific Time (US & Canada),needs_id,CC-BY,1,false,"Yosemite National Park, California, USA",37.980401,-119.791609,1876,,,,1876,,,false,,,Morchella,Morchella,true morels,Fungi,56830
67816,2012-04-18,2012-04-18,,Eastern Time (US & Canada),research,CC-BY-NC,1,false,"Economy Borough, PA, USA",40.6384,-80.185109,7406,,,,7406,,,false,,,Morchella diminutiva,Morchella diminutiva,Mes-2,Fungi,127217
70186,2012-04-24,2012-04-24,,Eastern Time (US & Canada),research,CC-BY-NC,2,false,"Warrendale, PA, USA",40.6532076,-80.0794925,1435,,,,1435,,,false,,,white morel,Morchella americana,white morel,Fungi,462132
71866,"April 27, 2012 6:24:50 PM PDT",2012-04-27,2012-04-28 01:24:50 UTC,Pacific Time (US & Canada),research,CC-BY,3,false,"47.63547134399414, -122.33830261230469",47.635471344,-122.3383026123,3228,,,,3228,,,false,,,Landscaping Black Morel,Morchella importuna,Landscaping Black Morel,Fungi,487375
83081,Fri May 25 2012 14:48:06 GMT-0700 (PDT),2012-05-25,2012-05-25 21:48:06 UTC,Pacific Time (US & Canada),needs_id,CC-BY,4,false,"Kootenay Boundary, CA-BC, CA",49.016341,-117.832165,5,,,,5,,,false,,,true morels,Morchella,true morels,Fungi,56830
111154,2006-04-28,2006-04-28,,Eastern Time (US & Canada),research,CC-BY,2,false,"Sand Run Metro Park, OH",41.1282725,-81.5401014,167,,,,167,,,false,,,half-free morel,Morchella punctipes,Half-free Morel,Fungi,133684
111223,2004-05-04,2004-05-04,,Eastern Time (US & Canada),research,CC-BY,2,false,"Ohio, US",41.0540456592,-81.590460788,1285,,,,27847,obscured,,true,,,white morel,Morchella americana,white morel,Fungi,462132
111224,2004-05-04,2004-05-04,,Eastern Time (US & Canada),research,CC-BY,2,false,"Ohio, US",41.0018783688,-81.4734969964,2112,,,,27831,obscured,,true,,,half-free morel,Morchella punctipes,Half-free Morel,Fungi,133684
126733,2012-05-22,2012-05-22,,Pacific Time (US & Canada),needs_id,CC-BY,3,false,"Sunrise Beach Rd. NW, Oly WA, 98502",47.0853219,-123.0000988,1464,,,,1464,,,false,,,Esculenta Clade,Morchella,Esculenta Clade,Fungi,1062674
126746,2011-05-01,2011-05-01,,Pacific Time (US & Canada),needs_id,CC-BY,1,false,"Idaho, US",44.872395475,-116.0860152487,1534,,,,27253,obscured,,true,,,Elata Clade,Distantes,Elata Clade,Fungi,1062676
191583,"April 28, 2011",2011-04-28,,Eastern Time (US & Canada),research,CC-BY-NC,2,false,"Economy Borough, PA, USA",40.6204227296,-80.1690618203,,,,,,,,false,,,half-free morel,Morchella punctipes,Half-free Morel,Fungi,133684
